timestamp,iso_timestamp,record_number,operation_mode,state,ax,ay,az,pitch,roll,gx,gy,gz,latitude,longitude,gps_altitude,gps_time,pressure,temperature,agl_altitude,velocity,pyro1_state,pyro2_state,battery_voltage,wifi_rssi,kalman_altitude,kalman_vertical_velocity,communication_mode,raw_data,t
2025-08-07 17:01:41.091280,2025-08-07T17:01:41.091280,13330,0,0,0.03,-0.05,0.97,1.79,-2.95,-11.19,4.97,3.78,-1.2833,36.8167,50.0,366003,101313.0,25.0,1.0,0.0,0.0,0.0,0.0,-84,1.01,-7.51,BEACON,"{""record_number"": 13330, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -84, ""acc_data"": {""ax"": 0.03, ""ay"": -0.05, ""az"": 0.97, ""pitch"": 1.79, ""roll"": -2.95}, ""gyro_data"": {""gx"": -11.19, ""gy"": 4.97, ""gz"": 3.78}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 50, ""time"": 366003}, ""alt_data"": {""pressure"": 101313, ""temperature"": 25, ""AGL"": 1, ""velocity"": 0, ""kalman_altitude"": 1.01, ""kalman_vertical_velocity"": -7.51}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -84}, ""communication_mode"": ""BEACON"", ""timestamp"": 409451, ""packets_received"": 544, ""kalman_data"": {""altitude"": 1.01, ""vertical_velocity"": -7.51}, ""kalman_altitude"": 1.01, ""kalman_vertical_velocity"": -7.51}",356.129427
2025-08-07 17:01:41.639981,2025-08-07T17:01:41.639981,13335,0,0,0.03,-0.04,0.96,1.57,-2.63,-10.88,5.95,3.75,-1.2833,36.8167,52.0,366103,101325.0,25.0,0.0,0.0,0.0,0.0,0.0,-86,0.01,-7.67,BEACON,"{""record_number"": 13335, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -86, ""acc_data"": {""ax"": 0.03, ""ay"": -0.04, ""az"": 0.96, ""pitch"": 1.57, ""roll"": -2.63}, ""gyro_data"": {""gx"": -10.88, ""gy"": 5.95, ""gz"": 3.75}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 52, ""time"": 366103}, ""alt_data"": {""pressure"": 101325, ""temperature"": 25, ""AGL"": 0, ""velocity"": 0, ""kalman_altitude"": 0.01, ""kalman_vertical_velocity"": -7.67}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -86}, ""communication_mode"": ""BEACON"", ""timestamp"": 409563, ""packets_received"": 545, ""kalman_data"": {""altitude"": 0.01, ""vertical_velocity"": -7.67}, ""kalman_altitude"": 0.01, ""kalman_vertical_velocity"": -7.67}",356.678128
2025-08-07 17:01:41.753420,2025-08-07T17:01:41.753420,13353,0,0,0.04,-0.05,0.96,1.79,-2.5,-10.58,5.55,3.35,-1.2833,36.8167,62.0,366603,101228.9,25.0,8.0,0.0,0.0,0.0,0.0,-89,7.99,-6.42,BEACON,"{""record_number"": 13353, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -89, ""acc_data"": {""ax"": 0.04, ""ay"": -0.05, ""az"": 0.96, ""pitch"": 1.79, ""roll"": -2.5}, ""gyro_data"": {""gx"": -10.58, ""gy"": 5.55, ""gz"": 3.35}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 62, ""time"": 366603}, ""alt_data"": {""pressure"": 101228.9, ""temperature"": 25, ""AGL"": 8, ""velocity"": 0, ""kalman_altitude"": 7.99, ""kalman_vertical_velocity"": -6.42}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -89}, ""communication_mode"": ""BEACON"", ""timestamp"": 410056, ""packets_received"": 546, ""kalman_data"": {""altitude"": 7.99, ""vertical_velocity"": -6.42}, ""kalman_altitude"": 7.99, ""kalman_vertical_velocity"": -6.42}",356.791567
2025-08-07 17:01:42.135607,2025-08-07T17:01:42.135607,13362,0,0,0.02,-0.05,0.97,1.6,-2.95,-11.34,5.88,3.78,-1.2833,36.8167,66.0,366802,101180.9,25.0,12.0,0.0,0.0,0.0,0.0,-85,11.99,-5.79,BEACON,"{""record_number"": 13362, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -85, ""acc_data"": {""ax"": 0.02, ""ay"": -0.05, ""az"": 0.97, ""pitch"": 1.6, ""roll"": -2.95}, ""gyro_data"": {""gx"": -11.34, ""gy"": 5.88, ""gz"": 3.78}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 66, ""time"": 366802}, ""alt_data"": {""pressure"": 101180.9, ""temperature"": 25, ""AGL"": 12, ""velocity"": 0, ""kalman_altitude"": 11.99, ""kalman_vertical_velocity"": -5.79}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -85}, ""communication_mode"": ""BEACON"", ""timestamp"": 410286, ""packets_received"": 547, ""kalman_data"": {""altitude"": 11.99, ""vertical_velocity"": -5.79}, ""kalman_altitude"": 11.99, ""kalman_vertical_velocity"": -5.79}",357.173754
2025-08-07 17:01:42.283395,2025-08-07T17:01:42.283395,13368,0,0,0.03,-0.05,0.97,1.43,-2.76,-11.04,3.9,3.54,-1.2833,36.8167,68.0,366903,101157.0,25.0,14.0,0.0,0.0,0.0,0.0,-88,13.99,-5.48,BEACON,"{""record_number"": 13368, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -88, ""acc_data"": {""ax"": 0.03, ""ay"": -0.05, ""az"": 0.97, ""pitch"": 1.43, ""roll"": -2.76}, ""gyro_data"": {""gx"": -11.04, ""gy"": 3.9, ""gz"": 3.54}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 68, ""time"": 366903}, ""alt_data"": {""pressure"": 101157, ""temperature"": 25, ""AGL"": 14, ""velocity"": 0, ""kalman_altitude"": 13.99, ""kalman_vertical_velocity"": -5.48}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -88}, ""communication_mode"": ""BEACON"", ""timestamp"": 410420, ""packets_received"": 548, ""kalman_data"": {""altitude"": 13.99, ""vertical_velocity"": -5.48}, ""kalman_altitude"": 13.99, ""kalman_vertical_velocity"": -5.48}",357.321542
2025-08-07 17:01:42.436397,2025-08-07T17:01:42.436397,13373,0,0,0.02,-0.04,0.97,1.26,-2.64,-10.73,3.87,3.78,-1.2833,36.8167,72.0,367103,101133.0,25.0,16.0,0.0,0.0,0.0,0.0,-87,15.99,-5.17,BEACON,"{""record_number"": 13373, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -87, ""acc_data"": {""ax"": 0.02, ""ay"": -0.04, ""az"": 0.97, ""pitch"": 1.26, ""roll"": -2.64}, ""gyro_data"": {""gx"": -10.73, ""gy"": 3.87, ""gz"": 3.78}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 72, ""time"": 367103}, ""alt_data"": {""pressure"": 101133, ""temperature"": 25, ""AGL"": 16, ""velocity"": 0, ""kalman_altitude"": 15.99, ""kalman_vertical_velocity"": -5.17}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -87}, ""communication_mode"": ""BEACON"", ""timestamp"": 410543, ""packets_received"": 549, ""kalman_data"": {""altitude"": 15.99, ""vertical_velocity"": -5.17}, ""kalman_altitude"": 15.99, ""kalman_vertical_velocity"": -5.17}",357.474544
2025-08-07 17:01:42.583084,2025-08-07T17:01:42.583084,13382,0,0,0.02,-0.05,0.97,1.71,-2.85,-11.43,4.91,3.84,-1.2833,36.8167,76.0,367303,101085.0,25.0,20.0,0.0,0.0,0.0,0.0,-86,19.99,-4.54,BEACON,"{""record_number"": 13382, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -86, ""acc_data"": {""ax"": 0.02, ""ay"": -0.05, ""az"": 0.97, ""pitch"": 1.71, ""roll"": -2.85}, ""gyro_data"": {""gx"": -11.43, ""gy"": 4.91, ""gz"": 3.84}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 76, ""time"": 367303}, ""alt_data"": {""pressure"": 101085, ""temperature"": 25, ""AGL"": 20, ""velocity"": 0, ""kalman_altitude"": 19.99, ""kalman_vertical_velocity"": -4.54}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -86}, ""communication_mode"": ""BEACON"", ""timestamp"": 410796, ""packets_received"": 550, ""kalman_data"": {""altitude"": 19.99, ""vertical_velocity"": -4.54}, ""kalman_altitude"": 19.99, ""kalman_vertical_velocity"": -4.54}",357.621231
2025-08-07 17:01:42.652504,2025-08-07T17:01:42.652504,13391,0,0,0.03,-0.05,0.97,1.88,-2.82,-11.19,5.18,4.15,-1.2833,36.8167,82.0,367602,101037.1,25.0,24.0,0.0,0.0,0.0,0.0,-83,23.99,-3.92,BEACON,"{""record_number"": 13391, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -83, ""acc_data"": {""ax"": 0.03, ""ay"": -0.05, ""az"": 0.97, ""pitch"": 1.88, ""roll"": -2.82}, ""gyro_data"": {""gx"": -11.19, ""gy"": 5.18, ""gz"": 4.15}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 82, ""time"": 367602}, ""alt_data"": {""pressure"": 101037.1, ""temperature"": 25, ""AGL"": 24, ""velocity"": 0, ""kalman_altitude"": 23.99, ""kalman_vertical_velocity"": -3.92}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -83}, ""communication_mode"": ""BEACON"", ""timestamp"": 411046, ""packets_received"": 551, ""kalman_data"": {""altitude"": 23.99, ""vertical_velocity"": -3.92}, ""kalman_altitude"": 23.99, ""kalman_vertical_velocity"": -3.92}",357.690651
2025-08-07 17:01:42.740473,2025-08-07T17:01:42.740473,13401,0,0,0.03,-0.05,0.97,1.48,-3.12,-11.07,5.49,4.15,-1.2833,36.8167,86.0,367805,100989.2,25.0,28.0,0.0,0.0,0.0,0.0,-85,27.99,-3.3,BEACON,"{""record_number"": 13401, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -85, ""acc_data"": {""ax"": 0.03, ""ay"": -0.05, ""az"": 0.97, ""pitch"": 1.48, ""roll"": -3.12}, ""gyro_data"": {""gx"": -11.07, ""gy"": 5.49, ""gz"": 4.15}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 86, ""time"": 367805}, ""alt_data"": {""pressure"": 100989.2, ""temperature"": 25, ""AGL"": 28, ""velocity"": 0, ""kalman_altitude"": 27.99, ""kalman_vertical_velocity"": -3.3}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -85}, ""communication_mode"": ""BEACON"", ""timestamp"": 411286, ""packets_received"": 552, ""kalman_data"": {""altitude"": 27.99, ""vertical_velocity"": -3.3}, ""kalman_altitude"": 27.99, ""kalman_vertical_velocity"": -3.3}",357.77862
2025-08-07 17:01:42.880303,2025-08-07T17:01:42.880303,13405,0,0,0.03,-0.05,0.97,1.54,-2.79,-11.13,5.67,4.85,-1.2833,36.8167,88.0,367905,100965.3,25.0,30.0,0.0,0.0,0.0,0.0,-85,29.99,-2.99,BEACON,"{""record_number"": 13405, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -85, ""acc_data"": {""ax"": 0.03, ""ay"": -0.05, ""az"": 0.97, ""pitch"": 1.54, ""roll"": -2.79}, ""gyro_data"": {""gx"": -11.13, ""gy"": 5.67, ""gz"": 4.85}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 88, ""time"": 367905}, ""alt_data"": {""pressure"": 100965.3, ""temperature"": 25, ""AGL"": 30, ""velocity"": 0, ""kalman_altitude"": 29.99, ""kalman_vertical_velocity"": -2.99}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -85}, ""communication_mode"": ""BEACON"", ""timestamp"": 411399, ""packets_received"": 553, ""kalman_data"": {""altitude"": 29.99, ""vertical_velocity"": -2.99}, ""kalman_altitude"": 29.99, ""kalman_vertical_velocity"": -2.99}",357.91845
2025-08-07 17:01:43.087726,2025-08-07T17:01:43.087726,13419,0,1,0.03,-0.04,0.96,1.6,-2.66,-11.46,5.09,4.18,-1.2833,36.8167,96.0,368305,100893.5,25.0,36.0,0.0,0.0,0.0,0.0,-89,35.99,-2.06,BEACON,"{""record_number"": 13419, ""operation_mode"": 0, ""state"": 1, ""battery_voltage"": 0, ""wifi_rssi"": -89, ""acc_data"": {""ax"": 0.03, ""ay"": -0.04, ""az"": 0.96, ""pitch"": 1.6, ""roll"": -2.66}, ""gyro_data"": {""gx"": -11.46, ""gy"": 5.09, ""gz"": 4.18}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 96, ""time"": 368305}, ""alt_data"": {""pressure"": 100893.5, ""temperature"": 25, ""AGL"": 36, ""velocity"": 0, ""kalman_altitude"": 35.99, ""kalman_vertical_velocity"": -2.06}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -89}, ""communication_mode"": ""BEACON"", ""timestamp"": 411752, ""packets_received"": 554, ""kalman_data"": {""altitude"": 35.99, ""vertical_velocity"": -2.06}, ""kalman_altitude"": 35.99, ""kalman_vertical_velocity"": -2.06}",358.125873
2025-08-07 17:01:43.389980,2025-08-07T17:01:43.389980,13431,0,1,0.02,-0.04,0.97,2.02,-2.91,-10.55,4.12,3.69,-1.2833,36.8167,102.0,368605,100821.7,25.0,42.0,0.0,0.0,0.0,0.0,-85,41.99,-1.14,BEACON,"{""record_number"": 13431, ""operation_mode"": 0, ""state"": 1, ""battery_voltage"": 0, ""wifi_rssi"": -85, ""acc_data"": {""ax"": 0.02, ""ay"": -0.04, ""az"": 0.97, ""pitch"": 2.02, ""roll"": -2.91}, ""gyro_data"": {""gx"": -10.55, ""gy"": 4.12, ""gz"": 3.69}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 102, ""time"": 368605}, ""alt_data"": {""pressure"": 100821.7, ""temperature"": 25, ""AGL"": 42, ""velocity"": 0, ""kalman_altitude"": 41.99, ""kalman_vertical_velocity"": -1.14}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -85}, ""communication_mode"": ""BEACON"", ""timestamp"": 412122, ""packets_received"": 555, ""kalman_data"": {""altitude"": 41.99, ""vertical_velocity"": -1.14}, ""kalman_altitude"": 41.99, ""kalman_vertical_velocity"": -1.14}",358.428127
2025-08-07 17:01:43.875058,2025-08-07T17:01:43.875058,13449,0,1,0.03,-0.05,0.96,1.74,-2.74,-11.22,5.18,4.48,-1.2833,36.8167,112.0,369105,100726.1,25.0,50.0,0.0,0.0,0.0,0.0,-83,49.99,0.09,BEACON,"{""record_number"": 13449, ""operation_mode"": 0, ""state"": 1, ""battery_voltage"": 0, ""wifi_rssi"": -83, ""acc_data"": {""ax"": 0.03, ""ay"": -0.05, ""az"": 0.96, ""pitch"": 1.74, ""roll"": -2.74}, ""gyro_data"": {""gx"": -11.22, ""gy"": 5.18, ""gz"": 4.48}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 112, ""time"": 369105}, ""alt_data"": {""pressure"": 100726.1, ""temperature"": 25, ""AGL"": 50, ""velocity"": 0, ""kalman_altitude"": 49.99, ""kalman_vertical_velocity"": 0.09}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -83}, ""communication_mode"": ""BEACON"", ""timestamp"": 412616, ""packets_received"": 556, ""kalman_data"": {""altitude"": 49.99, ""vertical_velocity"": 0.09}, ""kalman_altitude"": 49.99, ""kalman_vertical_velocity"": 0.09}",358.913205
